protocol,size,timedelta,flags
6,66,0.5627920627593994,2
6,66,0.1223289966583252,18
6,54,0.00017380714416503906,16
6,242,0.00016260147094726562,24
6,1506,0.12333130836486816,16
6,1506,0.0002803802490234375,16
6,54,0.00013875961303710938,16
6,148,0.00014591217041015625,24
6,212,0.0004246234893798828,24
6,105,0.1229248046875,24
6,551,0.007853031158447266,24
6,395,0.007502079010009766,24
6,168,0.007538557052612305,24
6,88,0.0074825286865234375,24
6,60,0.10674715042114258,16
6,60,0.01495814323425293,16
6,598,0.0010635852813720703,24
6,85,0.018118619918823242,24
6,54,0.00014853477478027344,17
6,60,0.12160325050354004,16
6,60,0.00016355514526367188,17
6,54,0.00010442733764648438,16
17,94,0.2835395336151123,0
17,158,0.0033845901489257812,0
17,218,0.7099673748016357,0
6,164,1.7131385803222656,24
6,164,0.00016570091247558594,24
6,164,0.1126246452331543,24
6,164,0.0017392635345458984,24
6,54,0.04045748710632324,16
6,54,0.0001842975616455078,16
17,178,2.0610404014587402,0
17,179,0.0003561973571777344,0
17,179,0.00025844573974609375,0
6,66,0.48407888412475586,2
6,62,0.03672337532043457,18
6,54,0.0001678466796875,16
6,244,0.00015926361083984375,24
6,60,0.03518366813659668,16
6,1506,0.0026290416717529297,16
6,1506,0.000347137451171875,16
6,54,0.00011730194091796875,16
6,1134,0.00016236305236816406,24
6,180,0.0005910396575927734,24
6,60,0.03581857681274414,16
6,105,0.000194549560546875,24
6,329,0.014775753021240234,24
6,278,0.01261138916015625,24
6,60,0.022943973541259766,16
6,60,0.012997150421142578,16
6,582,0.012154579162597656,24
6,85,0.02797985076904297,24
6,54,0.0001544952392578125,17
6,60,0.03486514091491699,16
6,60,0.00016641616821289062,17
6,60,0.0001125335693359375,16
6,60,0.9997560977935791,17
6,54,0.0002446174621582031,16
17,178,0.27565622329711914,0
17,179,0.00042438507080078125,0
17,179,0.000362396240234375,0
6,164,0.8894209861755371,24
6,164,0.0002110004425048828,24
6,164,0.008450508117675781,24
6,164,0.002032041549682617,24
6,54,0.051119327545166016,16
6,54,0.0001556873321533203,16
17,1285,0.16689229011535645,0
17,1292,0.00017690658569335938,0
17,1292,0.0001575946807861328,0
17,1146,0.00015211105346679688,0
17,75,0.018165111541748047,0
17,75,0.016932249069213867,0
6,334,0.027040481567382812,24
17,518,0.014328479766845703,0
17,174,0.00016546249389648438,0
17,82,0.005186319351196289,0
17,68,0.01847386360168457,0
6,54,0.012449979782104492,16
6,153,0.39078450202941895,24
6,54,0.04493069648742676,16
17,178,2.343501329421997,0
17,179,0.0003962516784667969,0
17,179,0.00014328956604003906,0
6,55,0.7814946174621582,16
6,113,0.0933985710144043,24
6,60,0.023322105407714844,16
6,60,0.0026373863220214844,16
6,55,0.1762707233428955,16
6,66,0.02734971046447754,16
6,164,0.797187328338623,24
6,164,0.0001842975616455078,24
6,164,0.10669517517089844,24
6,164,0.00040030479431152344,24
6,54,0.048331260681152344,16
6,54,0.00014591217041015625,16
17,1292,1.2007319927215576,0
17,1292,0.0002238750457763672,0
17,122,0.0001442432403564453,0
17,82,0.016771554946899414,0
17,1292,0.00045800209045410156,0
17,1292,0.020438671112060547,0
17,317,0.0001933574676513672,0
17,672,0.00014925003051757812,0
17,79,0.00012826919555664062,0
17,120,0.0001227855682373047,0
17,73,0.00012969970703125,0
17,1288,0.0001518726348876953,0
17,1292,0.00015783309936523438,0
17,1126,0.00014209747314453125,0
17,204,0.00011420249938964844,0
17,734,0.00013208389282226562,0
17,67,0.0019996166229248047,0
17,162,0.011943578720092773,0
17,67,0.00021719932556152344,0
17,67,0.00016117095947265625,0
17,67,0.00013113021850585938,0
17,71,0.001192331314086914,0
17,74,0.00015473365783691406,0
17,972,0.032700538635253906,0
17,78,0.03449296951293945,0
17,884,0.015071392059326172,0
17,75,0.00034999847412109375,0
17,66,0.02598285675048828,0
17,212,0.13837599754333496,0
17,212,1.0017671585083008,0
6,55,0.8719916343688965,16
6,59,0.019819974899291992,24
6,60,0.031699419021606445,16
6,66,0.0009529590606689453,16
6,341,0.059529781341552734,24
17,212,0.02639031410217285,0
6,230,0.008339643478393555,24
6,60,0.03154778480529785,16
17,212,0.969160795211792,0
6,151,0.07970905303955078,24
6,54,0.049565792083740234,16
6,164,0.310899019241333,24
6,164,0.0002262592315673828,24
6,164,0.0013918876647949219,24
6,164,0.00044918060302734375,24
6,54,0.044951677322387695,16
6,54,0.00029158592224121094,16
6,334,0.13142061233520508,24
6,54,0.05426311492919922,16
17,1237,1.790797472000122,0
17,75,0.017994165420532227,0
17,75,0.011565685272216797,0
17,122,0.06420516967773438,0
17,82,0.013338327407836914,0
17,68,0.01902008056640625,0
17,218,0.8948352336883545,0
6,164,1.9632694721221924,24
6,164,0.00015044212341308594,24
17,71,0.01781749725341797,0
17,67,0.03642082214355469,0
6,164,0.0633704662322998,24
6,164,0.003504514694213867,24
6,54,0.04976701736450195,16
6,54,0.0007867813110351562,16
17,151,1.991631031036377,0
17,119,0.11204791069030762,0
6,164,2.851994037628174,24
6,164,0.00015354156494140625,24
6,164,0.0015158653259277344,24
6,164,0.00033092498779296875,24
6,54,0.04495596885681152,16
6,54,0.0001518726348876953,16
6,334,0.007737159729003906,24
6,54,0.05425834655761719,16
6,164,4.895374774932861,24
6,164,0.00016546249389648438,24
6,164,0.01697683334350586,24
6,164,0.0007555484771728516,24
6,54,0.04444527626037598,16
6,54,0.00012874603271484375,16
17,95,2.027991533279419,0
17,60,0.11431622505187988,0
17,976,2.6656339168548584,0
17,75,0.018036842346191406,0
17,75,0.011113405227661133,0
17,118,0.019908905029296875,0
17,65,0.00037741661071777344,0
17,82,0.010373592376708984,0
17,68,0.0187680721282959,0
6,164,0.07483458518981934,24
6,164,0.0001850128173828125,24
6,164,0.0015411376953125,24
6,164,0.000835418701171875,24
6,334,0.02967381477355957,24
6,54,0.014197587966918945,16
6,54,0.0001995563507080078,16
6,54,0.030812740325927734,16
6,113,0.700115442276001,24
6,60,0.026841163635253906,16
6,55,1.3889055252075195,16
6,66,0.029964447021484375,16
17,218,0.6637811660766602,0
17,414,0.09263229370117188,0
6,55,0.6293535232543945,16
6,55,0.031052350997924805,16
6,66,0.007747650146484375,16
6,66,0.029638290405273438,16
6,55,0.2566869258880615,16
6,66,0.0018634796142578125,16
6,55,0.09133291244506836,16
6,66,0.0352017879486084,16
6,55,0.25966572761535645,16
6,66,0.05614757537841797,16
6,164,0.6280922889709473,24
6,164,0.00014925003051757812,24
6,164,0.0037086009979248047,24
6,164,0.0004000663757324219,24
